Matthew Knies|23|L|1|3|4|1|3|1|0|3|1|2|1|0|0|28|22.5|0
Matias Maccelli|63|L|1|2|3|1|1|1|0|2|1|0|1|0|0|16|13.9|0
John Tavares|91|C|1|1|2|4|1|0|0|1|0|1|4|10|11|22|21.1|0
William Nylander|88|R|1|1|2|3|2|0|0|2|1|2|3|0|0|23|24.0|1
Jake McCabe|22|D|0|1|1|3|2|3|2|0|0|3|3|0|0|24|20.4|0
Auston Matthews|34|C|1|0|1|2|1|0|0|1|1|0|2|5|2|14|13.3|0
Brandon Carlo|25|D|0|1|1|2|3|1|0|0|0|2|2|0|0|23|20.5|1
Bo Groulx|29|C|1|0|1|1|3|1|0|0|0|2|1|6|7|23|17.7|1
Oliver Ekman-Larsson|95|D|0|0|0|3|2|0|4|0|0|1|3|0|0|26|21.9|1
Nicholas Robertson|14|L|0|0|0|2|0|2|0|0|1|1|2|1|1|15|11.3|0
Calle Jarnkrok|19|C|0|0|0|2|0|0|0|0|0|1|2|1|0|19|14.1|-1
Easton Cowan|53|R|0|0|0|2|1|0|17|0|0|1|2|0|0|15|15.0|0
Max Domi|11|C|0|0|0|2|0|0|14|0|0|1|2|3|0|15|12.2|-2
Simon Benoit|2|D|0|0|0|0|4|0|0|0|1|0|0|0|0|23|16.6|-2
Philippe Myers|51|D|0|0|0|0|4|2|2|0|0|0|0|0|0|19|12.6|-2
Morgan Rielly|44|D|0|0|0|0|1|2|2|0|0|2|0|0|0|22|18.0|0
Michael Pezzetta|61|L|0|0|0|0|3|0|5|0|0|1|0|0|0|8|3.7|-1
Jacob Quillan|26|C|0|0|0|0|3|0|0|0|0|0|0|4|2|15|10.1|-2
