goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8471734,,320,21.5485,15,6.5485,2.5555,0.9309,2025-12-17 17:11:00.618924
8474593,,616,44.1096,54,-9.8904,-5.4592,0.9309,2025-12-17 17:11:00.618924
8474596,Jake Allen,677,47.747,42,5.747,3.3056,0.9309,2025-12-17 17:11:00.618924
8475311,,864,62.5461,56,6.5461,4.1465,0.9309,2025-12-17 17:11:00.618924
8475660,Cam Talbot,643,45.2325,48,-2.7675,-1.5569,0.9309,2025-12-17 17:11:00.618924
8475683,Sergei Bobrovsky,847,60.1735,62,-1.8265,-1.1485,0.9309,2025-12-17 17:11:00.618924
8475717,Calvin Pickard,406,33.2849,41,-7.7151,-3.4573,0.9309,2025-12-17 17:11:00.618924
8475809,Scott Wedgewood,777,52.8081,47,5.8081,3.534,0.9309,2025-12-17 17:11:00.618924
8475831,Philipp Grubauer,371,26.7137,25,1.7137,0.73,0.9309,2025-12-17 17:11:00.618924
8475852,,298,23.0978,24,-0.9022,-0.3369,0.9309,2025-12-17 17:11:00.618924
8475883,,526,40.6139,45,-4.3861,-2.2486,0.9309,2025-12-17 17:11:00.618924
8476341,Anton Forsberg,393,28.1054,29,-0.8946,-0.3937,0.9309,2025-12-17 17:11:00.618924
8476412,Jordan Binnington,691,49.4735,65,-15.5265,-9.0082,0.9309,2025-12-17 17:11:00.618924
8476434,John Gibson,757,55.215,55,0.215,0.1295,0.9309,2025-12-17 17:11:00.618924
8476883,,735,56.1822,42,14.1822,8.4404,0.9309,2025-12-17 17:11:00.618924
8476899,,167,11.9955,10,1.9955,0.4996,0.9309,2025-12-17 17:11:00.618924
8476914,Joonas Korpisalo,532,39.8468,40,-0.1532,-0.079,0.9309,2025-12-17 17:11:00.618924
8476932,,502,35.6798,40,-4.3202,-2.1644,0.9309,2025-12-17 17:11:00.618924
8476945,Connor Hellebuyck,685,50.5914,35,15.5914,9.0127,0.9309,2025-12-17 17:11:00.618924
8476999,Linus Ullmark,866,60.4164,72,-11.5836,-7.3436,0.9309,2025-12-17 17:11:00.618924
8477424,Juuse Saros,975,71.7081,70,1.7081,1.1291,0.9309,2025-12-17 17:11:00.618924
8477465,Tristan Jarry,650,48.2734,42,6.2734,3.5459,0.9309,2025-12-17 17:11:00.618924
8477480,Eric Comrie,579,42.573,46,-3.427,-1.8389,0.9309,2025-12-17 17:11:00.618924
8477967,Thatcher Demko,514,37.0153,28,9.0153,4.5699,0.9309,2025-12-17 17:11:00.618924
8477968,,623,41.7836,42,-0.2164,-0.1201,0.9309,2025-12-17 17:11:00.618924
8477970,,334,26.9233,28,-1.0767,-0.4312,0.9309,2025-12-17 17:11:00.618924
8477992,,553,37.3471,40,-2.6529,-1.3932,0.9309,2025-12-17 17:11:00.618924
8478007,Elvis Merzlikins,583,43.4348,50,-6.5652,-3.5342,0.9309,2025-12-17 17:11:00.618924
8478009,Ilya Sorokin,941,77.2932,58,19.2932,12.5988,0.9309,2025-12-17 17:11:00.618924
8478024,,333,25.3945,27,-1.6055,-0.6418,0.9309,2025-12-17 17:11:00.618924
8478048,Igor Shesterkin,1121,76.7176,69,7.7176,5.3371,0.9309,2025-12-17 17:11:00.618924
8478406,Mackenzie Blackwood,473,34.2188,25,9.2188,4.4815,0.9309,2025-12-17 17:11:00.618924
8478435,,827,59.2679,48,11.2679,7.0223,0.9309,2025-12-17 17:11:00.618924
8478470,Samuel Montembeault,526,40.1106,49,-8.8894,-4.5573,0.9309,2025-12-17 17:11:00.618924
8478499,,139,9.7891,12,-2.2109,-0.4809,0.9309,2025-12-17 17:11:00.618924
8478872,Karel Vejmelka,960,73.8976,69,4.8976,3.2203,0.9309,2025-12-17 17:11:00.618924
8478916,,793,53.2179,57,-3.7821,-2.3195,0.9309,2025-12-17 17:11:00.618924
8479193,Casey DeSmith,503,35.8976,29,6.8976,3.4591,0.9309,2025-12-17 17:11:00.618924
8479292,,438,33.3024,34,-0.6976,-0.3257,0.9309,2025-12-17 17:11:00.618924
8479312,Alex Lyon,708,48.7834,44,4.7834,2.8035,0.9309,2025-12-17 17:11:00.618924
8479361,,390,24.7036,20,4.7036,2.0611,0.9309,2025-12-17 17:11:00.618924
8479394,,167,11.913,13,-1.087,-0.2722,0.9309,2025-12-17 17:11:00.618924
8479406,Filip Gustavsson,962,67.1784,57,10.1784,6.6974,0.9309,2025-12-17 17:11:00.618924
8479496,,475,38.0134,31,7.0134,3.4168,0.9309,2025-12-17 17:11:00.618924
8479973,Stuart Skinner,950,69.6208,71,-1.3792,-0.9036,0.9309,2025-12-17 17:11:00.618924
8479979,Jake Oettinger,888,61.9951,57,4.9951,3.1957,0.9309,2025-12-17 17:11:00.618924
8480045,,382,26.1181,28,-1.8819,-0.8151,0.9309,2025-12-17 17:11:00.618924
8480051,,114,6.9774,13,-6.0226,-1.1182,0.9309,2025-12-17 17:11:00.618924
8480193,Daniil Tarasov,417,28.6771,29,-0.3229,-0.1469,0.9309,2025-12-17 17:11:00.618924
8480238,,50,3.6521,7,-3.3479,-0.3044,0.9309,2025-12-17 17:11:00.618924
8480280,Jeremy Swayman,979,72.6273,56,16.6273,11.0062,0.9309,2025-12-17 17:11:00.618924
8480313,,939,69.0601,51,18.0601,11.7849,0.9309,2025-12-17 17:11:00.618924
8480843,Lukas Dostal,835,60.9427,50,10.9427,6.8443,0.9309,2025-12-17 17:11:00.618924
8480947,,701,54.2711,57,-2.7289,-1.5928,0.9309,2025-12-17 17:11:00.618924
8480981,Joel Hofer,659,46.497,47,-0.503,-0.286,0.9309,2025-12-17 17:11:00.618924
8481020,,322,24.9995,29,-4.0005,-1.5671,0.9309,2025-12-17 17:11:00.618924
8481033,Akira Schmid,642,41.0351,37,4.0351,2.2684,0.9309,2025-12-17 17:11:00.618924
8481035,Samuel Ersson,464,34.944,38,-3.056,-1.4709,0.9309,2025-12-17 17:11:00.618924
8481519,Spencer Knight,1042,76.9319,59,17.9319,12.1174,0.9309,2025-12-17 17:11:00.618924
8481529,,71,3.9955,4,-0.0045,-0.0006,0.9309,2025-12-17 17:11:00.618924
8481551,,316,21.4766,26,-4.5234,-1.7517,0.9309,2025-12-17 17:11:00.618924
8481611,,193,12.694,13,-0.306,-0.0852,0.9309,2025-12-17 17:11:00.618924
8481668,Arturs Silovs,557,42.4568,47,-4.5432,-2.3941,0.9309,2025-12-17 17:11:00.618924
8481692,Dustin Wolf,947,65.7356,70,-4.2644,-2.7909,0.9309,2025-12-17 17:11:00.618924
8482076,Nico Daws,43,4.0806,1,3.0806,0.244,0.9309,2025-12-17 17:11:00.618924
8482137,Yaroslav Askarov,946,68.7587,62,6.7587,4.4216,0.9309,2025-12-17 17:11:00.618924
8482445,,445,33.6925,28,5.6925,2.6806,0.9309,2025-12-17 17:11:00.618924
8482447,Leevi Meriläinen,283,20.1489,26,-5.8511,-2.1148,0.9309,2025-12-17 17:11:00.618924
8482487,Jakub Dobes,688,50.659,50,0.659,0.3816,0.9309,2025-12-17 17:11:00.618924
8482515,,7,0.3201,0,0.3201,0.0044,0.9309,2025-12-17 17:11:00.618924
8482661,Jesper Wallstedt,545,35.5755,23,12.5755,6.5585,0.9309,2025-12-17 17:11:00.618924
8482761,,267,18.0884,22,-3.9116,-1.3617,0.9309,2025-12-17 17:11:00.618924
8482783,,37,2.2786,2,0.2786,0.0192,0.9309,2025-12-17 17:11:00.618924
8482821,,443,33.0219,38,-4.9781,-2.3386,0.9309,2025-12-17 17:11:00.618924
8482982,Jet Greaves,910,65.1159,60,5.1159,3.3017,0.9309,2025-12-17 17:11:00.618924
8483114,,94,6.4388,8,-1.5612,-0.2471,0.9309,2025-12-17 17:11:00.618924
8483548,,410,32.8205,23,9.8205,4.4246,0.9309,2025-12-17 17:11:00.618924
8483703,,191,11.0482,12,-0.9518,-0.2631,0.9309,2025-12-17 17:11:00.618924
