goalie_id,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8471734,303,17.7994,14,3.7994,1.4336,0.9323,2025-12-17 17:07:54.955479
8474593,587,37.5518,49,-11.4482,-6.1822,0.9323,2025-12-17 17:07:54.955479
8474596,644,40.8801,38,2.8801,1.6213,0.9323,2025-12-17 17:07:54.955479
8475311,820,53.0768,53,0.0768,0.0477,0.9323,2025-12-17 17:07:54.955479
8475660,617,39.917,46,-6.083,-3.3601,0.9323,2025-12-17 17:07:54.955479
8475683,804,51.5336,59,-7.4664,-4.6035,0.9323,2025-12-17 17:07:54.955479
8475717,386,28.3295,35,-6.6705,-2.9061,0.9323,2025-12-17 17:07:54.955479
8475809,741,44.6503,45,-0.3497,-0.2088,0.9323,2025-12-17 17:07:54.955479
8475831,352,23.1037,24,-0.8963,-0.3703,0.9323,2025-12-17 17:07:54.955479
8475852,288,20.8362,22,-1.1638,-0.4253,0.9323,2025-12-17 17:07:54.955479
8475883,498,35.8793,44,-8.1207,-4.0522,0.9323,2025-12-17 17:07:54.955479
8476341,377,24.9898,27,-2.0102,-0.8641,0.9323,2025-12-17 17:07:54.955479
8476412,658,41.7254,60,-18.2746,-10.384,0.9323,2025-12-17 17:07:54.955479
8476434,716,47.7217,52,-4.2783,-2.5191,0.9323,2025-12-17 17:07:54.955479
8476883,691,47.0507,35,12.0507,6.9916,0.9323,2025-12-17 17:07:54.955479
8476899,160,10.3088,10,0.3088,0.0749,0.9323,2025-12-17 17:07:54.955479
8476914,489,31.4008,36,-4.5992,-2.274,0.9323,2025-12-17 17:07:54.955479
8476932,474,28.9072,37,-8.0928,-3.9384,0.9323,2025-12-17 17:07:54.955479
8476945,648,42.9021,31,11.9021,6.7182,0.9323,2025-12-17 17:07:54.955479
8476999,834,53.8914,69,-15.1086,-9.4457,0.9323,2025-12-17 17:07:54.955479
8477424,937,63.3614,63,0.3614,0.2357,0.9323,2025-12-17 17:07:54.955479
8477465,619,41.9739,38,3.9739,2.1983,0.9323,2025-12-17 17:07:54.955479
8477480,545,35.2632,42,-6.7368,-3.5134,0.9323,2025-12-17 17:07:54.955479
8477967,482,31.3056,24,7.3056,3.5858,0.9323,2025-12-17 17:07:54.955479
8477968,598,36.8616,40,-3.1384,-1.7093,0.9323,2025-12-17 17:07:54.955479
8477970,312,22.0264,26,-3.9736,-1.5268,0.9323,2025-12-17 17:07:54.955479
8477992,531,33.7,40,-6.3,-3.2447,0.9323,2025-12-17 17:07:54.955479
8478007,545,35.6173,49,-13.3827,-6.9795,0.9323,2025-12-17 17:07:54.955479
8478009,876,63.7744,55,8.7744,5.586,0.9323,2025-12-17 17:07:54.955479
8478024,320,22.3234,24,-1.6766,-0.6543,0.9323,2025-12-17 17:07:54.955479
8478048,1063,64.4136,63,1.4136,0.9614,0.9323,2025-12-17 17:07:54.955479
8478406,443,27.8132,22,5.8132,2.7309,0.9323,2025-12-17 17:07:54.955479
8478435,790,51.6381,46,5.6381,3.4528,0.9323,2025-12-17 17:07:54.955479
8478470,498,34.254,48,-13.746,-6.8592,0.9323,2025-12-17 17:07:54.955479
8478499,136,8.9158,10,-1.0842,-0.2318,0.9323,2025-12-17 17:07:54.955479
8478872,914,64.2267,66,-1.7733,-1.1462,0.9323,2025-12-17 17:07:54.955479
